MiB Mem :   1827.1 total,   1634.5 free,    135.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.8 free,    135.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.2 free,    135.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.5 free,    134.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.4 free,    133.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.3 free,    132.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.2 free,    131.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1625.8 free,    144.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1626.9 free,    142.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1627.5 free,    142.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.9 free,    137.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.0 free,    135.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.7 free,    135.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.6 free,    133.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.7 free,    134.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1639.2 free,    130.6 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1631.6 free,    138.3 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1633.0 free,    136.8 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1634.9 free,    134.9 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1636.2 free,    133.6 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1629.1 free,    140.7 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1629.6 free,    140.2 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1630.6 free,    139.2 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1633.3 free,    136.5 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1634.4 free,    135.4 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1635.3 free,    134.5 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1636.3 free,    133.5 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1640.7 free,    129.1 used,     57.2 buff/cache
MiB Mem :   1827.1 total,   1633.8 free,    136.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.5 free,    135.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.1 free,    134.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.5 free,    132.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.0 free,    135.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.2 free,    135.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.6 free,    134.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.3 free,    134.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.0 free,    133.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.8 free,    133.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.0 free,    131.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.3 free,    135.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.9 free,    137.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.9 free,    138.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.7 free,    138.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.9 free,    136.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.7 free,    136.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.6 free,    133.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.5 free,    131.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1627.9 free,    141.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1629.1 free,    140.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.1 free,    139.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.1 free,    138.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.5 free,    135.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.9 free,    134.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.3 free,    135.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.7 free,    134.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.7 free,    133.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.0 free,    132.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.5 free,    131.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.3 free,    135.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.5 free,    138.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    136.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.3 free,    135.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.0 free,    134.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.9 free,    136.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.3 free,    137.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1628.5 free,    141.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.0 free,    136.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.6 free,    136.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.5 free,    134.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.6 free,    133.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.3 free,    139.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.5 free,    138.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.1 free,    139.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.6 free,    137.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.1 free,    136.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    136.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.2 free,    136.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.5 free,    136.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.1 free,    135.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.7 free,    136.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.5 free,    137.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1628.8 free,    140.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.6 free,    137.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.0 free,    134.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.8 free,    134.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.6 free,    133.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.6 free,    132.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.3 free,    132.4 used,     57.3 buff/cache
